row_id,order_id,tanggal_pemesanan,tanggal_pengiriman,metode_pengiriman,customer_id,nama_pelanggan,segmen,negara,kota,provinsi,kode_pos,wilayah,product_id,kategori,sub_kategori,nama_produk,penjualan,kuantitas,diskon,keuntungan,clean_tanggal_pengiriman,clean_kota,clean_kode_pos,helper_weekday_num,helper_hari
4277,IDN-2017-151358,2017-08-18 0:00:00,2017-08-22 0:00:00,Standard Class,IM-8203,Ifa Mandasari,Home Office,Indonesia,Semarang,Jawa Tengah,50111,Central,OFF-ST-10000046,Office Supplies,Storage,Lemari Arsip 9753,4846500,2,0,920835,2017-08-22 0:00:00,Semarang,50111,5,Jumat
1930,IDN-2017-101539,2017-03-16 0:00:00,,Second Class,KPS-8651,"Kania Prasetyo, S.Pd",Home Office,Indonesia,Bandung,Jawa Barat,40111,West,OFF-ST-10004180,Office Supplies,Storage,Box Arsip 4771,697650,1,0,27906,2017-03-16 0:00:00,Bandung,40111,4,Kamis
6177,IDN-2015-158421,2015-09-21 0:00:00,2015-09-26 0:00:00,Standard Class,PPS-4890,"Puji Pertiwi, S.Farm",Consumer,Indonesia,Medan,Sumatera Utara,20111,Central,OFF-ST-10002444,Office Supplies,Storage,Box Arsip 2087,1289400,7,0,361032,2015-09-26 0:00:00,Medan,20111,1,Senin
6501,IDN-2015-103135,2015-07-24 0:00:00,2015-07-28 0:00:00,Standard Class,RZP-9933,R. Zamira Prasetyo,Home Office,Indonesia,Semarang,Jawa Tengah,50111,Central,OFF-BI-10000069,Office Supplies,Binders,Binder Kancing A4 0675,1350900,6,0,621414,2015-07-28 0:00:00,Semarang,50111,5,Jumat
7219,IDN-2015-150770,2015-05-03 0:00:00,2015-05-06 0:00:00,First Class,JA-9769,Jarwa Aryani,Consumer,Indonesia,Balikpapan,Kalimantan Timur,76114,East,TEC-AC-10000844,Technology,Accessories,Mouse Wireless 5956,5099400,4,0,1835784,2015-05-06 0:00:00,Balikpapan,76114,7,Minggu
7524,IDN-2016-162383,2016-09-05 0:00:00,2016-09-11 0:00:00,Standard Class,TA-7278,Tirtayasa Agustina,Consumer,Indonesia,Balikpapan,Kalimantan Timur,76114,East,FUR-CH-10004477,Furniture,Chairs,Kursi Kerja Ergonomis 3964,1278690,2,"0,3",-18267,2016-09-11 0:00:00,Balikpapan,76114,1,Senin
9754,IDN-2017-113705,2017-03-27 0:00:00,2017-03-29 0:00:00,Second Class,JA-9769,Jarwa Aryani,Consumer,Indonesia,Balikpapan,Kalimantan Timur,76114,East,OFF-LA-10000476,Office Supplies,Labels,Label Harga 4075,123900,2,0,56994,2017-03-29 0:00:00,Balikpapan,76114,1,Senin
5788,IDN-2017-141117,2017-10-02 0:00:00,2017-10-08 0:00:00,Standard Class,ICNM-9308,"Ir. Cindy Natsir, M.Farm",Consumer,Indonesia,Yogyakarta,DI Yogyakarta,55111,Central,OFF-AR-10003727,Office Supplies,Art,Kaligrafi Dinding 1218,1427160,7,"0,2",160555,2017-10-08 0:00:00,Yogyakarta,55111,1,Senin
26,IDN-2016-121755,2016-01-16 0:00:00,2016-01-20 0:00:00,Second Class,BB-5041,Belinda Budiyanto,Consumer,Indonesia,MEDAN,Sumatera Utara,20111,Central,OFF-BI-10001634,Office Supplies,Binders,Binder Plastik A4 7384,174720,2,"0,2",63336,2016-01-20 0:00:00,Medan,20111,6,Sabtu
4537,IDN-2017-138464,2017-07-08 0:00:00,2017-07-12 0:00:00,Standard Class,CH-7654,Cakrawangsa Hartati,Home Office,Indonesia,Yogyakarta,DI Yogyakarta,55111,Central,OFF-BI-10001543,Office Supplies,Binders,Binder Plastik A4 4980,1295640,3,"0,2",453474,2017-07-12 0:00:00,Yogyakarta,55111,6,Sabtu
8814,IDN-2015-127754,2015-07-26 0:00:00,2015-07-31 0:00:00,Standard Class,DL-4107,Daru Latupono,Corporate,Indonesia,Semarang,Jawa Tengah,50111,Central,FUR-CH-10003199,Furniture,Chairs,Kursi Lipat 8608,3995280,3,"0,2",199764,2015-07-31 0:00:00,Semarang,50111,7,Minggu
7947,IDN-2017-134194,2017-12-25 0:00:00,2018-01-01 0:00:00,Standard Class,BP-5183,Bakianto Puspasari,Consumer,Indonesia,Yogyakarta,DI Yogyakarta,55111,Central,OFF-BI-10001116,Office Supplies,Binders,Binder Plastik A4 4660,47520,3,"0,8",-76032,2018-01-01 0:00:00,Yogyakarta,55111,1,Senin
7954,IDN-2014-138359,2014-04-01 0:00:00,2014-04-06 0:00:00,Standard Class,DDSM-6079,"Drs. Diana Saefullah, M.Pd",Corporate,Indonesia,Surabaya,Jawa Timur,60231,East,OFF-ST-10000636,Office Supplies,Storage,Box Arsip 8580,1004400,4,0,40176,2014-04-06 0:00:00,Surabaya,60231,2,Selasa
810,IDN-2014-151995,2014-10-13 0:00:00,2014-10-15 0:00:00,First Class,TR-3038,Tasnim Riyanti,Consumer,Indonesia,Medan,Sumatera Utara,20111,Central,OFF-AR-10003190,Office Supplies,Art,Poster Ilustrasi 6855,172800,4,0,48384,2014-10-15 0:00:00,Medan,20111,1,Senin
2003,IDN-2017-163510,2017-12-25 0:00:00,2017-12-28 0:00:00,Second Class,MP-9247,Marsito Puspasari,Consumer,Indonesia,Denpasar,Bali,80231,South,OFF-ST-10000563,Office Supplies,Storage,Box Arsip 4096,1439100,3,0,143910,2017-12-28 0:00:00,Denpasar,80231,1,Senin
6601,IDN-2014-154095,2014-12-02 0:00:00,2014-12-07 0:00:00,Standard Class,RKS-2517,R.M. Kemal Samosir,Corporate,Indonesia,Bandung,Jawa Barat,40111,West,OFF-PA-10002923,Office Supplies,Paper,Kertas Foto 6978,2202300,3,0,1101150,2014-12-07 0:00:00,Bandung,40111,2,Selasa
7681,IDN-2014-133592,2014-12-31 0:00:00,2015-01-07 0:00:00,Standard Class,CGWS-7714,"Cut Gilda Widiastuti, S.H.",Home Office,Indonesia,Makassar,Sulawesi Selatan,,South,FUR-BO-10000362,Furniture,Bookcases,Rak Buku Besi 4823,5129400,2,0,1179762,2015-01-07 0:00:00,Makassar,90111,3,Rabu
4551,IDN-2017-107636,2017-04-30 0:00:00,2017-05-02 0:00:00,First Class,TP-1821,Teddy Pranowo,Consumer,Indonesia,Surabaya,Jawa Timur,60231,East,OFF-LA-10003388,Office Supplies,Labels,Label Harga 2043,86400,2,0,42336,2017-05-02 0:00:00,Surabaya,60231,7,Minggu
9554,IDN-2016-125724,2016-09-22 0:00:00,2016-09-27 0:00:00,Standard Class,FR-8847,Farah Rajata,Corporate,Indonesia,Semarang,Jawa Tengah,50111,Central,FUR-FU-10000246,Furniture,Furnishings,Lampu Meja 2781,1026480,7,"0,2",128310,2016-09-27 0:00:00,Semarang,50111,4,Kamis
7693,IDN-2014-102330,2014-12-29 0:00:00,2015-01-03 0:00:00,Standard Class,FA-1999,Farah Ardianto,Consumer,Indonesia,Surabaya,Jawa Timur,60231,East,OFF-LA-10003923,Office Supplies,Labels,Label Stiker 7720,1332000,6,0,666000,2015-01-03 0:00:00,Surabaya,60231,1,Senin
4395,IDN-2014-142965,2014-07-20 0:00:00,2014-07-20 0:00:00,Same Day,IPS-6647,"Ivan Padmasari, S.Pt",Consumer,Indonesia,Medan,Sumatera Utara,20111,Central,OFF-ST-10002583,Office Supplies,Storage,Lemari Arsip 7965,389760,1,"0,2",-77952,2014-07-20 0:00:00,Medan,20111,7,Minggu
5336,IDN-2014-103331,2014-08-26 0:00:00,2014-09-01 0:00:00,Standard Class,ZM-8052,Zahra Mahendra,Consumer,Indonesia,BANDUNG,Jawa Barat,40111,West,OFF-PA-10002659,Office Supplies,Paper,Kertas HVS A4 8848,50700,1,0,23322,2014-09-01 0:00:00,Bandung,40111,2,Selasa
6919,IDN-2016-105473,2016-04-16 0:00:00,2016-04-18 0:00:00,Second Class,KMS-2096,"Kenes Mustofa, S.T.",Consumer,Indonesia,Balikpapan,Kalimantan Timur,76114,East,OFF-SU-10003567,Office Supplies,Supplies,Perlengkapan Kantor 8704,432000,3,0,12960,2016-04-18 0:00:00,Balikpapan,76114,6,Sabtu
7229,IDN-2014-157546,2014-07-20 0:00:00,2014-07-22 0:00:00,First Class,RHM-2762,"Rahmi Halimah, M.Farm",Consumer,Indonesia,Surabaya,Jawa Timur,60231,East,OFF-BI-10002498,Office Supplies,Binders,Binder Kulit A4 9469,1345680,6,"0,2",454167,2014-07-22 0:00:00,Surabaya,60231,7,Minggu
1666,IDN-2016-128531,2016-11-24 0:00:00,2016-11-26 0:00:00,Second Class,TS-2813,Tantri Suartini,Consumer,Indonesia,Yogyakarta,DI Yogyakarta,55111,Central,OFF-FA-10002676,Office Supplies,Fasteners,Paper Clip 6719,65160,3,"0,2",13032,2016-11-26 0:00:00,Yogyakarta,55111,4,Kamis
2666,IDN-2016-164784,2016-05-01 0:00:00,2016-05-04 0:00:00,First Class,AS-6627,Anggabaya Siregar,Consumer,Indonesia,Jakarta,DKI Jakarta,10110,West,OFF-BI-10002954,Office Supplies,Binders,Binder Plastik A4 6644,41130,2,"0,7",-30162,2016-05-04 0:00:00,Jakarta,10110,7,Minggu
1709,IDN-2017-123491,2017-10-30 0:00:00,2017-11-05 0:00:00,Standard Class,RGMS-9696,"R. Gatra Maheswara, S.Gz",Consumer,Indonesia,Medan,Sumatera Utara,20111,Central,OFF-PA-10003424,Office Supplies,Paper,Kertas HVS A4 2735,111300,2,0,55650,2017-11-05 0:00:00,Medan,20111,1,Senin
8936,IDN-2017-130036,2017-08-27 0:00:00,2017-08-27 0:00:00,Same Day,DY-3274,Daru Yulianti,Corporate,Indonesia,Jakarta,DKI Jakarta,10110,West,TEC-AC-10001908,Technology,Accessories,Flashdisk 0082,16798320,14,"0,2",3149685,2017-08-27 0:00:00,Jakarta,10110,7,Minggu
6885,IDN-2015-120677,2015-05-31 0:00:00,2015-06-04 0:00:00,Standard Class,SN-6312,Sidiq Nasyiah,Consumer,Indonesia,Denpasar,Bali,80231,South,FUR-CH-10002320,Furniture,Chairs,Kursi Kantor 8673,38517600,8,0,11555280,2015-06-04 0:00:00,Denpasar,80231,7,Minggu
6273,IDN-2017-149706,2017-12-11 0:00:00,2017-12-12 0:00:00,First Class,GGM-1776,"Gaiman Gunawan, M.Pd",Corporate,Indonesia,Yogyakarta,DI Yogyakarta,55111,Central,TEC-AC-10001284,Technology,Accessories,Keyboard USB 3285,1744680,7,"0,2",348936,2017-12-12 0:00:00,Yogyakarta,55111,1,Senin
3964,IDN-2017-134838,2017-02-19 0:00:00,2017-02-20 0:00:00,First Class,MW-6707,Mumpuni Wijayanti,Home Office,Indonesia,Yogyakarta,DI Yogyakarta,55111,Central,FUR-FU-10004018,Furniture,Furnishings,Gorden 0732,670050,3,0,180914,2017-02-20 0:00:00,Yogyakarta,55111,7,Minggu
5398,IDN-2016-145492,2016-11-20 0:00:00,2016-11-27 0:00:00,Standard Class,OM-5006,Oman Melani,Corporate,Indonesia,Makassar,Sulawesi Selatan,90111,South,OFF-AP-10003622,Office Supplies,Appliances,Kipas Angin 3406,585000,12,0,169650,2016-11-27 0:00:00,Makassar,90111,7,Minggu
6757,IDN-2017-124205,2017-09-15 0:00:00,2017-09-19 0:00:00,Standard Class,RP-3784,Rina Prayoga,Corporate,Indonesia,Palembang,Sumatera Selatan,30111,Central,FUR-CH-10003606,Furniture,Chairs,Kursi Lipat 4458,7694400,4,0,2154432,2017-09-19 0:00:00,Palembang,30111,5,Jumat
177,IDN-2017-152366,2017-04-21 0:00:00,2017-04-25 0:00:00,Second Class,BH-1254,Bambang Haryanti,Consumer,Indonesia,Bandung,Jawa Barat,40111,West,OFF-AP-10002684,Office Supplies,Appliances,Dispenser Air 9340,1458960,4,"0,8",-3647400,2017-04-25 0:00:00,Bandung,40111,5,Jumat
2875,IDN-2017-102638,2017-12-29 0:00:00,2017-12-31 0:00:00,First Class,RPS-4741,"Restu Pudjiastuti, S.E.",Consumer,Indonesia,Semarang,Jawa Tengah,50111,Central,OFF-FA-10002988,Office Supplies,Fasteners,Isi Staples 4919,90450,3,0,44320,2017-12-31 0:00:00,Semarang,50111,5,Jumat
3928,IDN-2014-103940,2014-09-17 0:00:00,2014-09-21 0:00:00,Standard Class,JHS-4667,"Jono Haryanto, S.I.Kom",Consumer,Indonesia,Surabaya,Jawa Timur,60231,East,OFF-BI-10002735,Office Supplies,Binders,Binder Plastik A4 3048,2058600,5,"0,2",694778,2014-09-21 0:00:00,Surabaya,60231,3,Rabu
8319,IDN-2017-130904,2017-04-11 0:00:00,2017-04-16 0:00:00,Standard Class,APS-1258,"Aris Prabowo, S.Pt",Consumer,Indonesia,Bandung,Jawa Barat,40111,West,OFF-AR-10000127,Office Supplies,Art,Lukisan Cat Air 2125,314880,8,"0,2",35424,2017-04-16 0:00:00,Bandung,40111,2,Selasa
7553,IDN-2014-140396,2014-11-20 0:00:00,2014-11-25 0:00:00,Standard Class,DDSM-6079,"Drs. Diana Saefullah, M.Pd",Corporate,Indonesia,Surabaya,Jawa Timur,60231,East,OFF-BI-10003669,Office Supplies,Binders,Binder Plastik A4 8388,194400,3,"0,2",68040,2014-11-25 0:00:00,Surabaya,60231,4,Kamis
1904,IDN-2017-167094,2017-10-21 0:00:00,2017-10-22 0:00:00,First Class,ES-1571,Enteng Suryono,Corporate,Indonesia,Jakarta,DKI Jakarta,10110,West,FUR-CH-10000155,Furniture,Chairs,Kursi Kerja Ergonomis 8194,7177200,2,"0,2",717720,2017-10-22 0:00:00,Jakarta,10110,6,Sabtu
5210,IDN-2015-102015,2015-09-12 0:00:00,2015-09-18 0:00:00,Standard Class,ES-1302,Eka Simanjuntak,Consumer,Indonesia,Surabaya,Jawa Timur,60231,East,OFF-EN-10002504,Office Supplies,Envelopes,Amplop Coklat 6328,407700,1,0,191619,2015-09-18 0:00:00,Surabaya,60231,6,Sabtu
2864,IDN-2017-103828,2017-08-13 0:00:00,2017-08-13 0:00:00,Same Day,RAM-4981,R. Argono Mahendra,Consumer,Indonesia,,Jawa Barat,40111,West,OFF-ST-10001325,Office Supplies,Storage,Rak Dokumen 5374,471600,3,0,127332,2017-08-13 0:00:00,Bandung,40111,7,Minggu
1159,IDN-2016-149314,2016-07-02 0:00:00,,Second Class,DVPS-3094,"drg. Victoria Prakasa, S.E.I",Corporate,Indonesia,Makassar,Sulawesi Selatan,,South,FUR-CH-10002126,Furniture,Chairs,Kursi Kerja Ergonomis 8008,2927760,1,"0,2",292776,2016-07-02 0:00:00,Makassar,90111,6,Sabtu
1833,IDN-2015-131422,2015-11-05 0:00:00,2015-11-09 0:00:00,Standard Class,DVPS-3094,"drg. Victoria Prakasa, S.E.I",Corporate,Indonesia,makassar,Sulawesi Selatan,90111,South,FUR-CH-10001270,Furniture,Chairs,Kursi Kantor 2404,3105000,3,"0,2",388125,2015-11-09 0:00:00,Makassar,90111,4,Kamis
6627,IDN-2014-145541,2014-12-14 0:00:00,2014-12-21 0:00:00,Standard Class,DSMS-5102,"Dr. Salsabila Maryati, S.T.",Consumer,Indonesia,Medan,Sumatera Utara,20111,Central,TEC-MA-10001127,Technology,Machines,Mesin Laminating 3068,104999400,4,0,33599808,2014-12-21 0:00:00,Medan,20111,7,Minggu
502,IDN-2016-105578,2016-05-30 0:00:00,2016-06-04 0:00:00,Standard Class,RWR-3495,R.A. Widya Rahayu,Corporate,Indonesia,Palembang,Sumatera Selatan,30111,Central,OFF-BI-10001658,Office Supplies,Binders,Binder Kancing A4 9187,224280,2,"0,7",-179424,2016-06-04 0:00:00,Palembang,30111,1,Senin
1684,IDN-2016-147585,2016-11-07 0:00:00,2016-11-12 0:00:00,Standard Class,AW-1716,Anastasia Wahyudin,Corporate,Indonesia,Balikpapan,Kalimantan Timur,76114,East,FUR-FU-10002597,Furniture,Furnishings,Gorden 8658,222300,3,0,93366,2016-11-12 0:00:00,Balikpapan,76114,1,Senin
3401,IDN-2014-102274,2014-11-21 0:00:00,2014-11-26 0:00:00,Standard Class,RY-3860,Restu Yulianti,Corporate,Indonesia,Makassar,Sulawesi Selatan,90111,South,OFF-ST-10001511,Office Supplies,Storage,Lemari Arsip 4396,2909250,3,0,145462,2014-11-26 0:00:00,Makassar,90111,5,Jumat
5781,IDN-2015-159513,2015-04-02 0:00:00,2015-04-09 0:00:00,Standard Class,PZH-6298,Puti Zelaya Hassanah,Consumer,Indonesia,Palembang,Sumatera Selatan,30111,Central,TEC-MA-10003329,Technology,Machines,Mesin Absensi 3725,1079640,3,"0,2",364378,2015-04-09 0:00:00,Palembang,30111,4,Kamis
755,IDN-2015-135272,2015-12-07 0:00:00,2015-12-12 0:00:00,Standard Class,RP-4156,Rahmat Pradana,Consumer,Indonesia,Makassar,Sulawesi Selatan,90111,South,FUR-FU-10002759,Furniture,Furnishings,Gorden 2164,1198800,4,0,431568,2015-12-12 0:00:00,Makassar,90111,1,Senin
9108,IDN-2015-132941,2015-05-25 0:00:00,2015-05-28 0:00:00,First Class,RMK-7761,R.A. Maida Kusumo,Corporate,Indonesia,Surabaya,Jawa Timur,60231,East,OFF-SU-10002557,Office Supplies,Supplies,Perlengkapan Kantor 7969,335520,2,"0,2",25164,2015-05-28 0:00:00,Surabaya,60231,1,Senin
9120,IDN-2016-155971,2016-06-06 0:00:00,2016-06-12 0:00:00,Standard Class,UI-2039,Unjani Iswahyudi,Home Office,Indonesia,Semarang,Jawa Tengah,50111,Central,OFF-LA-10000452,Office Supplies,Labels,Label Stiker 8470,330750,7,0,158760,2016-06-12 0:00:00,Semarang,50111,1,Senin
9403,IDN-2016-105459,2016-08-12 0:00:00,2016-08-17 0:00:00,Second Class,KS-7342,Kambali Saragih,Consumer,Indonesia,Medan,Sumatera Utara,20111,Central,FUR-TA-10001095,Furniture,Tables,Meja Belajar 2689,3137220,2,"0,4",-993453,2016-08-17 0:00:00,Medan,20111,5,Jumat
6053,IDN-2016-124016,2016-09-23 0:00:00,2016-09-26 0:00:00,Second Class,DJNS-5684,"dr. Joko Nurdiyanti, S.T.",Home Office,Indonesia,Yogyakarta,DI Yogyakarta,55111,Central,OFF-PA-10002586,Office Supplies,Paper,Kertas HVS A4 0205,179280,3,"0,2",60507,2016-09-26 0:00:00,Yogyakarta,55111,5,Jumat
1416,IDN-2017-115994,2017-01-28 0:00:00,2017-01-31 0:00:00,Second Class,PAS-5593,"Parman Agustina, S.IP",Home Office,Indonesia,Denpasar,Bali,80231,South,FUR-FU-10003976,Furniture,Furnishings,Gorden 0609,566100,3,0,192474,2017-01-31 0:00:00,Denpasar,80231,6,Sabtu
1293,IDN-2015-101707,2015-08-27 0:00:00,2015-09-01 0:00:00,Standard Class,RH-7983,Rahmi Hastuti,Consumer,Indonesia,BALIKPAPAN,Kalimantan Timur,76114,East,OFF-SU-10001218,Office Supplies,Supplies,Perlengkapan Kantor 1377,494100,3,0,138348,2015-09-01 0:00:00,Balikpapan,76114,4,Kamis
6959,IDN-2015-167255,2015-09-27 0:00:00,2015-09-29 0:00:00,Second Class,BHM-8156,"Banawi Habibi, M.Farm",Home Office,Indonesia,Medan,Sumatera Utara,20111,Central,OFF-ST-10001328,Office Supplies,Storage,Rak Dokumen 5634,232650,1,0,65142,2015-09-29 0:00:00,Medan,20111,7,Minggu
4117,IDN-2015-153416,2015-11-24 0:00:00,2015-11-29 0:00:00,Standard Class,ZK-8099,Zamira Kuswoyo,Consumer,Indonesia,Balikpapan,Kalimantan Timur,76114,East,OFF-BI-10002813,Office Supplies,Binders,Binder Kancing A4 5679,47520,2,"0,2",14850,2015-11-29 0:00:00,Balikpapan,76114,2,Selasa
2496,IDN-2014-136644,2014-06-16 0:00:00,2014-06-22 0:00:00,Standard Class,CP-8358,Cawuk Permata,Consumer,Indonesia,Medan,Sumatera Utara,20111,Central,FUR-CH-10000225,Furniture,Chairs,Kursi Kerja Ergonomis 2193,9717600,8,0,485880,2014-06-22 0:00:00,Medan,20111,1,Senin
2408,IDN-2017-144589,2017-01-20 0:00:00,,Standard Class,ES-1302,Eka Simanjuntak,Consumer,Indonesia,,Jawa Timur,,East,OFF-AR-10003631,Office Supplies,Art,Lukisan Kanvas 1388,363000,5,0,119790,2017-01-20 0:00:00,Surabaya,60231,5,Jumat
4158,IDN-2015-101091,2015-12-05 0:00:00,2015-12-09 0:00:00,Second Class,IPS-6647,"Ivan Padmasari, S.Pt",Consumer,Indonesia,Medan,Sumatera Utara,20111,Central,OFF-BI-10001107,Office Supplies,Binders,Binder Plastik A4 3904,390960,6,"0,7",-299736,2015-12-09 0:00:00,Medan,20111,6,Sabtu
6076,IDN-2017-121398,2017-12-25 0:00:00,2017-12-29 0:00:00,Standard Class,DM-6503,Dadi Manullang,Corporate,Indonesia,Surabaya,Jawa Timur,60231,East,OFF-ST-10002756,Office Supplies,Storage,Box Arsip 9150,4059300,2,0,40593,2017-12-29 0:00:00,Surabaya,60231,1,Senin
8025,IDN-2014-129189,2014-07-21 0:00:00,2014-07-25 0:00:00,Standard Class,KN-3547,Kenzie Natsir,Corporate,Indonesia,Denpasar,Bali,80231,South,OFF-BI-10000494,Office Supplies,Binders,Binder Kulit A4 3733,15660,1,"0,8",-27405,2014-07-25 0:00:00,Denpasar,80231,1,Senin
7157,IDN-2017-126718,2017-04-29 0:00:00,2017-05-04 0:00:00,Standard Class,IR-6320,Icha Rajasa,Consumer,Indonesia,Palembang,Sumatera Selatan,30111,Central,OFF-LA-10004055,Office Supplies,Labels,Label Stiker 3660,73650,1,0,36088,2017-05-04 0:00:00,Palembang,30111,6,Sabtu
6908,IDN-2016-140249,2016-09-27 0:00:00,2016-10-03 0:00:00,Standard Class,RD-5551,Rendy Dongoran,Consumer,Indonesia,Denpasar,Bali,80231,South,TEC-PH-10002584,Technology,Phones,Smartphone Android 1686,15023760,2,"0,2",1877970,2016-10-03 0:00:00,Denpasar,80231,2,Selasa
7160,IDN-2015-145835,2015-05-13 0:00:00,2015-05-18 0:00:00,Second Class,ZW-2316,Zulfa Wibowo,Home Office,Indonesia,Balikpapan,Kalimantan Timur,76114,East,TEC-PH-10004447,Technology,Phones,Smartphone Entry Level 6775,3335760,2,"0,2",250182,2015-05-18 0:00:00,Balikpapan,76114,3,Rabu
851,IDN-2016-152534,2016-06-20 0:00:00,2016-06-25 0:00:00,Second Class,RMHM-1691,"R. Mursita Haryanti, M.Kom.",Corporate,Indonesia,Denpasar,Bali,80231,South,OFF-AR-10002335,Office Supplies,Art,Poster Ilustrasi 3143,77400,2,0,20124,2016-06-25 0:00:00,Denpasar,80231,1,Senin
6400,IDN-2017-151981,2017-08-06 0:00:00,2017-08-12 0:00:00,Standard Class,PAA-3183,Puti Agnes Adriansyah,Home Office,Indonesia,Palembang,Sumatera Selatan,30111,Central,OFF-LA-10002195,Office Supplies,Labels,Label Stiker 1232,369600,8,0,177408,2017-08-12 0:00:00,Palembang,30111,7,Minggu
6409,IDN-2017-161774,2017-05-14 0:00:00,2017-05-15 0:00:00,First Class,PLL-1563,Puti Laila Lestari,Consumer,Indonesia,Balikpapan,Kalimantan Timur,76114,East,OFF-AR-10001446,Office Supplies,Art,Lukisan Kanvas 4460,693000,5,"0,2",86625,2017-05-15 0:00:00,Balikpapan,76114,7,Minggu
537,IDN-2017-122637,2017-09-03 0:00:00,2017-09-08 0:00:00,Second Class,PW-8025,Paris Widodo,Consumer,Indonesia,Surabaya,Jawa Timur,60231,East,OFF-BI-10002429,Office Supplies,Binders,Ordner Arsip A4 3158,639240,7,"0,8",-1022784,2017-09-08 0:00:00,Surabaya,60231,7,Minggu
924,IDN-2015-111164,2015-04-11 0:00:00,2015-04-15 0:00:00,Standard Class,JWS-5393,"Jaka Wasita, S.Pd",Consumer,Indonesia,Palembang,Sumatera Selatan,30111,Central,OFF-AP-10004487,Office Supplies,Appliances,Kipas Angin 1923,6099000,5,0,1707720,2015-04-15 0:00:00,Palembang,30111,6,Sabtu
